================================================================================
 REGISTRO DE AUDITORÍA DEL SIGB - PROYECTO DGAC
 Generado el: 13-11-2025 22:29:59
================================================================================

FECHA (UTC)            | USUARIO                   | ACCIÓN               | DETALLE
2025-11-06 19:16:16    | Rodolfo@gmail.com         | Editar Libro         | Libro (ID: 1). Cambios: ['titulo' cambió de 'Aviones' a 'Aviones5']
2025-11-06 19:17:06    | Rodolfo@gmail.com         | Crear Autor          | Autor 'Juan Morales' creado.
2025-11-06 19:19:34    | Rodolfo@gmail.com         | Crear Libro          | Libro 'mecanica' creado.
2025-11-06 19:21:28    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Aviones 2' (ID: 2)
2025-11-06 19:21:29    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Aviones5' (ID: 1)
2025-11-06 19:21:29    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'mecanica' (ID: 3)
2025-11-06 19:34:00    | miguel@gmail.cm           | Crear Libro          | Libro 'eso' creado.
2025-11-06 22:27:25    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió prestado el libro 'Aviones 2' (ID: 2)
2025-11-06 22:29:04    | Cristian@gmail.com        | Renovación           | Usuario 'Cristian@gmail.com' renovó 'Aviones 2' hasta 2025-11-20
2025-11-06 22:30:31    | admin                     | Préstamo Libro       | Usuario 'admin' pidió prestado el libro 'Aviones5' (ID: 1)
2025-11-06 22:31:49    | admin                     | Préstamo Libro       | Usuario 'admin' pidió prestado el libro 'eso' (ID: 4)
2025-11-06 22:31:59    | admin                     | Devolución           | Usuario 'admin' devolvió 'Aviones5' (ID Préstamo: 33)
2025-11-06 22:32:01    | admin                     | Devolución           | Usuario 'admin' devolvió 'eso' (ID Préstamo: 34)
2025-11-06 22:34:50    | Rodolfo@gmail.com         | Archivar Libro       | Libro 'Aviones 2' (ID: 2) archivado.
2025-11-06 22:35:06    | Rodolfo@gmail.com         | Reactivar Libro      | Libro 'Aviones 2' (ID: 2) reactivado.
2025-11-06 22:42:37    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'Aviones 2' (ID Préstamo: 32)
2025-11-10 02:15:56    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió prestado el libro 'Aviones5' (ID: 1)
2025-11-10 02:17:00    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'Aviones5' (ID Préstamo: 35)
2025-11-10 02:22:30    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió prestado el libro 'Aviones5' (ID: 1)
2025-11-10 02:24:27    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió prestado el libro 'eso' (ID: 4)
2025-11-10 02:24:30    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió prestado el libro 'mecanica' (ID: 3)
2025-11-10 02:33:39    | Rodolfo@gmail.com         | Crear Material       | Material 'Boing 737' creado.
2025-11-10 02:35:14    | Rodolfo@gmail.com         | Préstamo Material    | Usuario 'Rodolfo@gmail.com' pidió el material 'Boing 737' (ID: 1)
2025-11-10 02:35:54    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'Boing 737' (ID Préstamo: 39)
2025-11-10 02:36:37    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'Aviones5' (ID Préstamo: 36)
2025-11-10 02:36:38    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'eso' (ID Préstamo: 37)
2025-11-10 02:36:39    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'mecanica' (ID Préstamo: 38)
2025-11-10 02:36:56    | Cristian@gmail.com        | Préstamo Material    | Usuario 'Cristian@gmail.com' pidió el material 'Boing 737' (ID: 1)
2025-11-10 02:36:59    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'Boing 737' (ID Préstamo: 40)
2025-11-11 03:03:13    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió prestado el libro 'Aviones5' (ID: 1)
2025-11-11 03:03:42    | Cristian@gmail.com        | Préstamo Material    | Usuario 'Cristian@gmail.com' pidió el material 'Boing 737' (ID: 1)
2025-11-11 03:03:58    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió prestado el libro 'mecanica' (ID: 3)
2025-11-11 03:04:05    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió prestado el libro 'eso' (ID: 4)
2025-11-11 03:05:21    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'eso' (ID Préstamo: 44)
2025-11-11 03:05:22    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'mecanica' (ID Préstamo: 43)
2025-11-11 03:05:24    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'Boing 737' (ID Préstamo: 42)
2025-11-11 03:05:26    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'Aviones5' (ID Préstamo: 41)
2025-11-11 03:06:38    | admin                     | Préstamo Libro       | Usuario 'admin' pidió prestado el libro 'Aviones 2' (ID: 2)
2025-11-11 03:06:44    | admin                     | Préstamo Libro       | Usuario 'admin' pidió prestado el libro 'Aviones5' (ID: 1)
2025-11-11 03:06:52    | admin                     | Préstamo Libro       | Usuario 'admin' pidió prestado el libro 'mecanica' (ID: 3)
2025-11-11 03:06:59    | admin                     | Préstamo Libro       | Usuario 'admin' pidió prestado el libro 'eso' (ID: 4)
2025-11-11 03:08:10    | admin                     | Devolución           | Usuario 'admin' devolvió 'eso' (ID Préstamo: 48)
2025-11-11 03:08:12    | admin                     | Devolución           | Usuario 'admin' devolvió 'mecanica' (ID Préstamo: 47)
2025-11-11 03:08:13    | admin                     | Devolución           | Usuario 'admin' devolvió 'Aviones5' (ID Préstamo: 46)
2025-11-11 03:08:14    | admin                     | Devolución           | Usuario 'admin' devolvió 'Aviones 2' (ID Préstamo: 45)
2025-11-11 03:30:47    | Rodolfo@gmail.com         | Editar Libro         | Libro (ID: 2). Cambios: ['fecha_publicacion' cambió de '2025-11-06' a 'None'; 'cantidad' cambió de '1' a '10']
2025-11-11 03:57:09    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió 'Aviones 2' (ID: 2)
2025-11-11 03:57:29    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió 'Aviones 2' (ID: 2)
2025-11-11 03:57:43    | Tomas@gmail.com           | Préstamo Libro       | Usuario 'Tomas@gmail.com' pidió 'Aviones 2' (ID: 2)
2025-11-11 03:58:33    | Rodolfo@gmail.com         | Editar Libro         | Libro (ID: 2). Cambios: 'cantidad' de '10' a '3'
2025-11-11 04:03:08    | Cristian@gmail.com        | Devolución           | Usuario 'Cristian@gmail.com' devolvió 'Aviones 2' (ID Préstamo: 50)
2025-11-11 04:03:55    | miguel@gmail.cm           | Préstamo Libro       | Usuario 'miguel@gmail.cm' pidió 'Aviones 2' (ID: 2)
2025-11-11 04:11:43    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió 'Aviones5' (ID: 1)
2025-11-11 04:12:53    | miguel@gmail.cm           | Devolución           | Usuario 'miguel@gmail.cm' devolvió 'Aviones 2' (ID Préstamo: 52)
2025-11-11 04:13:20    | miguel@gmail.cm           | Préstamo Libro       | Usuario 'miguel@gmail.cm' pidió 'mecanica' (ID: 3)
2025-11-11 04:14:09    | miguel@gmail.cm           | Devolución           | Usuario 'miguel@gmail.cm' devolvió 'mecanica' (ID Préstamo: 54)
2025-11-11 04:14:45    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió 'mecanica' (ID: 3)
2025-11-12 00:01:23    | Sistema                   | Respaldo Automático  | Respaldo de auditoría guardado en: SIGB_Auditoria_Auto_20251112.txt
2025-11-12 00:02:35    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-11-11
2025-11-12 00:02:42    | Rodolfo@gmail.com         | Exportar Historial   | Descarga manual generada por Rodolfo@gmail.com
2025-11-12 00:31:32    | Rodolfo@gmail.com         | Préstamo Material    | Usuario 'Rodolfo@gmail.com' pidió 'Boing 737' (ID: 1)
2025-11-12 00:32:11    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió 'eso' (ID: 4)
2025-11-12 01:42:51    | admin                     | Archivar Categoría   | 'Ensa' (ID: 2) archivada.
2025-11-12 01:43:20    | admin                     | Crear Categoría      | Categoría 'Futbol' (ID: 10) creada.
2025-11-13 00:39:15    | admin                     | Préstamo Libro       | Usuario 'admin' pidió 'Aviones5' (ID: 1)
2025-11-13 00:39:43    | admin                     | Devolución           | Usuario 'admin' devolvió 'Aviones5' (ID Préstamo: 58)
2025-11-13 00:52:29    | admin                     | Préstamo Libro       | Usuario 'admin' pidió 'Aviones 2' (ID: 2)
2025-11-13 00:52:40    | admin                     | Devolución           | Usuario 'admin' devolvió 'Aviones 2' (ID P: 59)
2025-11-13 00:54:28    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió 'Aviones 2' (ID: 2)
2025-11-13 00:54:33    | Cristian@gmail.com        | Préstamo Libro       | Usuario 'Cristian@gmail.com' pidió 'Aviones5' (ID: 1)
2025-11-13 00:55:40    | admin                     | Cobro Masivo         | Se enviaron 0 correos de recordatorio.
2025-11-13 00:56:03    | admin                     | Cobro Masivo         | Se enviaron 0 correos de recordatorio.
2025-11-13 01:00:14    | admin                     | Cobro Masivo         | Se enviaron 2 correos de recordatorio.
2025-11-13 02:32:33    | Denisse@gmail.com         | Préstamo Libro       | Usuario 'Denisse@gmail.com' pidió 'Aviones 2' (ID: 2)
2025-11-13 02:35:57    | Rodolfo@gmail.com         | Préstamo Material    | Usuario 'Rodolfo@gmail.com' pidió 'Boletín Técnico: Gulfstream G650 (Rev. 41)' (ID: 179)
2025-11-13 02:37:16    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'Boletín Técnico: Gulfstream G650 (Rev. 41)' (ID P: 63)
2025-11-13 02:38:40    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió 'El Manual de Control de Vuelo (Ed. 81)' (ID: 85)
2025-11-13 02:41:29    | Rodolfo@gmail.com         | Cobro Masivo         | Se enviaron 3 correos de recordatorio.
2025-11-13 02:43:55    | Rodolfo@gmail.com         | Archivar Libro       | 'Aviones 2' (ID: 2) archivado.
2025-11-13 02:44:06    | Rodolfo@gmail.com         | Reactivar Libro      | 'Aviones 2' (ID: 2) reactivado.
2025-11-13 02:44:56    | Rodolfo@gmail.com         | Exportar Historial   | Descarga manual generada por Rodolfo@gmail.com
2025-11-13 02:45:37    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-11-11
2025-11-13 02:45:44    | Rodolfo@gmail.com         | Exportar Historial   | Descarga manual generada por Rodolfo@gmail.com
2025-11-13 02:48:11    | Rodolfo@gmail.com         | Cambio de Rol        | Rol de 'miguel@gmail.cm' cambiado a 'Lector'
2025-11-13 02:48:16    | Rodolfo@gmail.com         | Cambio de Rol        | Rol de 'miguel@gmail.cm' cambiado a 'Cargador'
2025-11-13 02:53:49    | Rodolfo@gmail.com         | Devolución           | Usuario 'Rodolfo@gmail.com' devolvió 'El Manual de Control de Vuelo (Ed. 81)' (ID P: 64)
2025-11-13 02:53:54    | Rodolfo@gmail.com         | Préstamo Libro       | Usuario 'Rodolfo@gmail.com' pidió 'Aviones 2' (ID: 2)
2025-11-13 19:14:54    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-11-01
2025-11-13 19:15:46    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-17
2025-11-13 19:19:06    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-17
2025-11-13 19:20:41    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-16
2025-11-13 19:22:48    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-15
2025-11-13 19:39:22    | admin                     | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-15
2025-11-13 20:36:39    | admin                     | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-10
2025-11-13 20:38:11    | admin                     | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-10
2025-11-13 20:39:31    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-10
2025-11-13 20:41:53    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-10
2025-11-13 20:41:59    | Sistema                   | Respaldo Automático  | Respaldo de auditoría guardado en: SIGB_Auditoria_Auto_20251113.txt
2025-11-13 20:43:06    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-11-10
2025-11-13 20:44:08    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-11-06
2025-11-13 20:44:32    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-09
2025-11-13 20:44:35    | Sistema                   | Respaldo Automático  | Respaldo de auditoría guardado en: SIGB_Auditoria_Auto_20251113.txt
2025-11-13 20:45:20    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-09
2025-11-13 20:45:22    | Sistema                   | Respaldo Automático  | Respaldo de auditoría guardado en: SIGB_Auditoria_Auto_20251113.txt
2025-11-13 22:20:30    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo automático borrada.
2025-11-13 22:24:38    | Sistema                   | Respaldo Automático  | Respaldo de auditoría guardado en: SIGB_Auditoria_Auto_20251113.txt
2025-11-13 22:28:51    | Rodolfo@gmail.com         | Exportar Historial   | Descarga manual generada por Rodolfo@gmail.com
2025-11-13 22:29:56    | Rodolfo@gmail.com         | Debug Respaldo       | Fecha de respaldo forzada a 2025-10-09
